Xpath;Nome ;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo Dado Json;;;;;
GET /accounts/{accountId}/overdraftLimits/;;Método para obter os valores relacionados ao Limtie de Cheque Especial ou do Adiantamento a depositante da conta de depósito à vista identificada por accountId mantida pelo cliente na instituição transmissora;;;;;;;;;;;;;;;
data/<account>/;;Conjunto de informações da Conta de: depósito à vista;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto;;;;;
data/<account>/accounts/accountID;accountID;Um identificador único e imutável usado para identificar o recurso do contrato da operação de crédito. Este identificador não tem significado para oproprietário da conta;Texto;100;Obrigatório;\w*\W*;;1;1;Não há restrição;;String;;;;;
data/<account>/requestDateTime;requestDateTime;"Data e hora da consulta, conforme especificação RFC-3339, formato UTC. p.ex. ""2020-07-21T08:30:00Z""";Data Hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;Não há restrição;;Texto;;;;;
data/<account>/currency;currency;"Moeda referente aos valores de Limite de Cheque Especial e de Adiantamento a depositante , segundo modelo ISO-4217. p.ex. 'BRL' 
Todos os saldos informados estão representados com a moeda vigente do Brasil";Texto;3;Obrigatório;;moeda (ISO-4217);1;1;Não há restrição;;Texto;;;;;
data/<account>/overdraftLimit;overdraftLimit;"Faixa de valor que corresponde ao valor monetário do limite de cheque especial contratado. Cada faixa corresponde a um range de valor. São previstos valores diferentes das faixas para Contratos de Cheque Especial de Pessoa Natural e de Pessoa jurídica (vide Enum)
- Faixa1
- Faixa2
- Faixa3
- Faixa4
- Faixa5";ENUM;;Condicional;;"FAIXA_1
FAIXA_2
FAIXA_3
FAIXA_4
FAIXA_5";0;1;Preenchimento obrigatório se a Conta de depóstio à vista tiver Cheque Especial contratado;;ENUM;;;;;
data/<account>/balances/;;Lista dos valores referentes ao utilizado do Limite de Cheque especial e do adiantamento a depositante;Lista;;Obrigatório;;;1;3;Preenchimento obrigatório se informado valor do saldo;;Lista;;;;;
data/<account>/balances/type;type;"Tipo de  saldo informado: (vide Enum)
- valor utilizado do limite do cheque especial
- saldo a descoberto em conta de depósito à vista (relativo ao excesso do limite de cheque especial ou ao adiantamento a depositante)";ENUM;;Obrigatório;;"VALOR_UTILIZADO_LIMITE
SALDO_DESCOBERTO";1;1;Não há restrição;;ENUM;;;;;
data/<account>/balances/amount;amount;Valor do saldo. Expressa em valor monetário com 4 casas decimais. ;Número;19;Obrigatório;;;1;1;Aceita nulo;aceita 'null';Número;;;;;
