Xpath,Nome,Definição,Tipo de dado,Tamanho,Mandatoriedade,Formato,Domínio,Mínimo de Ocorrências,Máximo de Ocorrências,Restrições,Nulidade,Tipo Dado Json,Comentarios
GET /contracts/{contractId}/scheduled-instalments,,Método para obter os dados do cronograma de parcelas do contrato de direitos creditórios descontados identificado por contractId mantido pelo cliente na instituição transmissora,,,,,,,,,,,
data/,,Conjunto de informações referentes ao prazo remanescente e às parcelas de uma operação de crédito de direitos creditórios descontados,Objeto,,Obrigatório,,,1,1,Não há restrição,,Objeto,
data/contractRemainingDays,contractRemainingDays,Prazo Remanescente em dias do contrato referente à Modalidade de Crédito informada,Número,6,Obrigatório,,,1,1,Aceita nulo,aceita null,Double,
data/dueInstalments,dueInstalments,Quantidade de prestações a vencer,Número,3,Obrigatório,,,1,1,Aceita nulo,aceita null,Number,
data/pastDueInstalments,pastDueInstalments,Quantidade de prestações vencidas,Número,3,Obrigatório,,,1,1,Aceita nulo,aceita null,Number,
data/balloonPayments/,,Lista que traz as datas de vencimento e valor das parcelas não regulares do contrato da modalidade de crédito consultada,Lista,,Obrigatório,,,1,N,Aceita nulo,aceita null,Lista,
data/balloonPayments/dueDate,dueDate,"Data de vencimento da parcela não regular a vencer do contrato da modalidade de crédito consultada, conforme especificação RFC-3339. p.ex. 2014-03-19",Data,10,Obrigatório,^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$,especificação RFC-3339,1,1,Não há restrição,,String,
data/balloonPayments/amount,amount,Valor monetário da parcela não regular a vencer. Expresso em valor monetário com até 4 casas decimais,Número,19,Obrigatório,Incluir Regex,,1,1,Aceita nulo,aceita null,Double,
data/balloonPayments/currency,currency,"Moeda referente ao valor monetário informado, segundo modelo ISO-4217. p.ex. 'BRL' 
Todos os valores monetários informados estão representados com a moeda vigente do Brasil",Texto,3,Obrigatório,,moeda (ISO-4217),1,1,Não há restrição,,String,
